state,county,pop_total_2019,median_age_2019,median_income_2019,households_median_value_2019,households_avg_size_2019,households_total_2019,households_median_gross_rent_2019,mean_travel_time_2019,pop_total_male_rate_2019,pop_total_female_rate_2019,pop_18_39_male_rate_2019,pop_18_39_female_rate_2019,pop_40_64_male_rate_2019,pop_40_64_female_rate_2019,pop_over_65_male_rate_2019,pop_over_65_female_rate_2019,veterans_rate_2019,inmigrants_rate_2019,white_rate_2019,black_rate_2019,native_rate_2019,asian_rate_2019,pacific_rate_2019,other_rate_2019,hispanic_rate_2019,two_more_races_rate_2019,high_school_rate_2019,bachelors_rate_2019,poverty_rate_2019,households_renter_rate_2019,households_owner_rate_2019,unemployment_rate_2019,public_transport_rate_2019,no_health_insurance_rate_2019,county_fips
29,023,42656,41.3,39915,113500,2.54,16390,675,16533,48.91,51.09,12.63,12.46,15.93,16.93,8.13,10.4,7.61,1.33,90.4,5.55,0.56,0.76,0.07,0.2,2.14,2.47,20.34,5.77,23.19,36.31,63.69,7.88,0.56,11.71,29023
29,025,9039,42.3,49839,109300,2.43,3639,631,3646,50.7,49.3,12.66,11.64,16.31,16.21,9.15,10.2,8.31,1.15,95.73,0.58,0.7,0.41,0.0,0.14,1.63,2.44,25.19,8.81,15.28,23.88,76.12,3.21,0.02,9.23,29025
29,027,44889,38.6,56938,157400,2.56,15973,708,19274,50.98,49.02,16.87,13.85,16.04,16.2,7.39,8.46,7.46,1.67,92.02,4.39,0.54,0.82,0.33,0.06,2.09,1.84,19.09,10.5,9.66,27.49,72.51,3.28,0.05,8.57,29027
29,029,45466,51.5,53478,200800,2.8,16031,754,17679,49.32,50.68,9.99,9.92,16.28,18.08,13.76,13.91,10.01,2.07,96.29,0.8,0.58,0.31,0.0,0.61,2.73,1.42,24.58,10.21,14.51,19.29,80.71,4.73,0.17,12.94,29029
29,031,78491,36.5,53732,160500,2.54,29594,808,35748,48.38,51.62,16.29,16.45,14.28,15.37,7.01,9.19,6.44,2.81,87.75,7.37,0.13,1.72,0.04,0.37,2.33,2.61,17.39,12.32,15.71,35.02,64.98,4.52,0.18,7.81,29031
29,033,8781,43.4,50830,88200,2.47,3503,607,3219,49.36,50.64,11.4,11.63,16.49,16.41,9.5,11.87,5.72,1.69,95.59,1.86,0.2,0.49,0.0,0.22,1.59,1.64,27.04,8.15,14.29,25.75,74.25,6.7,0.01,11.42,29033
29,035,6147,41.7,39530,101500,2.62,2333,621,2170,49.32,50.68,11.91,12.77,16.25,15.55,9.06,10.57,7.58,0.2,97.02,0.07,1.63,0.0,0.0,0.0,2.57,1.29,24.96,6.51,13.03,22.59,77.41,4.24,0.13,15.83,29035
29,037,103597,39.8,69433,181000,2.58,39770,975,48217,48.86,51.14,13.09,12.79,16.01,17.26,7.19,9.31,7.89,2.02,91.24,4.09,0.58,0.77,0.14,0.67,4.38,2.51,20.35,11.66,8.85,23.5,76.5,3.77,0.05,7.2,29037
29,039,14043,44.7,39365,98900,2.37,5842,612,4823,50.14,49.86,11.07,10.35,15.41,15.7,10.99,12.34,9.11,1.38,96.18,0.05,0.31,0.21,0.0,0.49,2.26,2.75,22.82,5.93,15.55,29.29,70.71,6.99,0.14,15.46,29039
29,041,7483,45.7,46738,87900,2.7,2686,514,2843,49.74,50.26,11.33,10.93,15.56,15.62,10.84,12.91,7.16,0.48,95.44,2.55,0.04,0.0,0.0,0.0,0.53,1.96,31.59,8.13,13.54,21.74,78.26,3.44,0.0,7.59,29041
29,043,85658,37.9,60645,169000,2.69,31645,816,38450,48.9,51.1,13.06,13.87,15.87,16.44,6.91,8.32,7.49,2.03,95.28,0.83,0.47,0.57,0.02,0.42,2.95,2.43,16.74,12.41,9.84,25.75,74.25,3.43,0.01,8.24,29043
29,045,6779,44.0,48909,90000,2.52,2657,600,2933,50.67,49.33,12.41,10.25,16.98,16.93,9.34,11.27,6.31,1.27,97.33,0.31,0.27,1.02,0.0,0.0,0.6,1.08,26.36,5.43,14.6,25.14,74.86,3.39,0.01,13.84,29045
29,047,242516,37.1,70510,174900,2.63,91238,965,119231,49.06,50.94,14.91,14.92,15.61,16.42,6.08,7.75,6.37,5.1,85.14,6.14,0.46,2.2,0.23,1.82,6.8,4.02,16.53,15.13,8.06,31.35,68.65,3.9,0.21,7.47,29047
29,049,20500,41.0,62701,159700,2.45,8177,855,9110,49.51,50.49,12.11,12.84,16.74,16.76,8.31,9.17,8.43,1.42,95.67,1.51,0.36,0.66,0.04,0.09,2.14,1.66,24.84,10.38,8.59,23.58,76.42,4.25,0.47,7.02,29049
29,051,76723,38.6,60066,162300,2.38,30154,661,36470,50.41,49.59,15.52,13.69,16.71,15.57,7.0,9.04,6.74,3.27,83.96,11.71,0.39,1.56,0.01,0.24,2.84,2.13,16.67,14.76,9.67,33.71,66.29,3.58,0.22,7.8,29051
29,053,17660,38.7,52735,132900,2.51,6397,664,7200,52.55,47.45,17.5,12.37,16.28,14.95,7.64,9.56,7.01,1.0,88.76,5.83,0.49,0.45,0.19,0.63,1.99,3.65,21.04,10.52,10.96,27.43,72.57,4.2,0.06,9.03,29053
29,055,24154,41.9,44438,124700,2.47,9578,624,8968,49.35,50.65,12.36,11.9,16.53,17.02,8.88,10.3,7.85,1.04,96.67,0.37,0.04,0.21,0.0,0.58,2.01,2.13,22.47,5.47,18.15,28.57,71.43,9.66,0.13,16.24,29055
29,057,7578,46.2,40399,83500,2.41,3068,630,2692,50.75,49.25,12.01,10.65,16.43,16.94,10.9,12.31,8.89,1.49,95.46,0.36,0.94,0.84,0.03,0.28,2.14,2.1,29.44,6.94,20.93,23.21,76.79,9.86,0.12,13.34,29057
